Дата;Идентификатор;ИдентификаторЖалобыТендера;Статус жалобы;ДатаПодачиТребованияЖалобыТендера;Тип методу закупівлі;КодОргЖалобыТендера;ОрганизацияЖалобыТендера;Уровень жалобы;Классификация лота CPV2;СтатусТендера;IDOrganizator;СуммаТендера
05.09.2017;UA-2017-09-05-001850-a;UA-2017-09-05-001850-a.a1;Не удовлетворено;04.10.2017 12:40:40;Відкриті торги;14367980;"ПАО ""ДнСЗ""";На решение;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;03328406;3380000
01.09.2017;UA-2017-09-01-001329-b;UA-2017-09-01-001329-b.c2;Не удовлетворено;27.09.2017 18:37:24;Відкриті торги із публікацією англ. мовою;32204916;ТОВ “ ТЕЛЕФОННІ СИСТЕМИ І МЕРЕЖІ “АНФЕР”;На условия;35000000-4 Охоронне, протипожежне, поліцейське та оборонне обладнання;unsuccessful;40108578;38000000
24.05.2017;UA-2017-05-24-000250-a;UA-2017-05-24-000250-a.b3;Не удовлетворено;19.06.2017 14:54:00;Відкриті торги із публікацією англ. мовою;38870278;"ТОВ ""СПЕЦУКРРЕСУРС""";На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;active.awarded;40081347;1030886873.4
24.05.2017;UA-2017-05-24-000250-a;UA-2017-05-24-000250-a.a5;Удовлетворено;22.08.2017 16:48:51;Відкриті торги із публікацією англ. мовою;37731587;"ТОВ ""ДНІПРОЗАЛІЗНИЧПОСТАЧАННЯ""";На решение;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;active.awarded;40081347;1030886873.4
24.05.2017;UA-2017-05-24-001424-c;UA-2017-05-24-001424-c.a1;Удовлетворено;20.06.2017 20:19:05;Відкриті торги із публікацією англ. мовою;38308551;"ТОВ ""ЮДІСІ""";На условия;32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання;cancelled;40108583;5000000
24.05.2017;UA-2017-05-24-001424-c;UA-2017-05-24-001424-c.b2;Удовлетворено;27.07.2017 23:03:20;Відкриті торги із публікацією англ. мовою;38308551;"ТОВ ""ЮДІСІ""";На условия;32000000-3 Радіо-, телевізійна, комунікаційна, телекомунікаційна та супутня апаратура й обладнання;cancelled;40108583;5000000
24.05.2017;UA-2017-05-24-000277-c;UA-2017-05-24-000277-c.a2;Удовлетворено;28.07.2017 15:03:42;Відкриті торги із публікацією англ. мовою;500059129;"ОАО ""Дорожно-строительный трест № 6""";На решение;45000000-7 Будівельні роботи та поточний ремонт;complete;25879878;67556057
24.05.2017;UA-2017-05-24-000302-b;UA-2017-05-24-000302-b.c2;Удовлетворено;03.07.2017 23:42:05;Відкриті торги;40955753;ТОВ ТЕХОЙЛ ТК;На решение;09000000-3 Нафтопродукти, паливо, електроенергія та інші джерела енергії;complete;08183359;710000
24.05.2017;UA-2017-05-24-001506-b;UA-2017-05-24-001506-b.c1;Не удовлетворено;02.06.2017 13:09:32;Відкриті торги;35018734;"ТОВ ""РАДІАЛ-УКРАЇНА""";На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;39013038;3367000
24.05.2017;UA-2017-05-24-001506-b;UA-2017-05-24-001506-b.a2;Не удовлетворено;17.07.2017 11:23:07;Відкриті торги;34327481;"ІП ""АІС-ПОЛТАВА""";На решение;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;39013038;3367000
