Ідентифікатор тендера;Кіль-ть лотів
UA-2016-04-03-000001-c;1
UA-2016-04-04-000041-a;1
UA-2016-04-04-000054-b;1
UA-2016-04-04-000055-c;1
UA-2016-04-04-000125-b;1
UA-2016-04-04-000241-b;1
UA-2016-04-05-000049-a;1
UA-2016-04-05-000061-b;1
UA-2016-04-05-000145-b;1
UA-2016-04-05-000357-b;1
UA-2016-04-05-000365-b;1
UA-2016-04-05-000366-b;1
UA-2016-04-05-000367-b;1
UA-2016-04-05-000368-b;1
UA-2016-04-05-000370-b;1
UA-2016-04-06-000069-c;1
UA-2016-04-06-000074-a;1
UA-2016-04-06-000088-b;1
UA-2016-04-06-000089-b;1
UA-2016-04-06-000115-c;1
UA-2016-04-06-000346-c;1
UA-2016-04-07-000061-a;2
UA-2016-04-07-000114-c;1
UA-2016-04-07-000124-c;1
UA-2016-04-07-000131-c;1
UA-2016-04-07-000142-c;1
UA-2016-04-07-000152-c;1
UA-2016-04-07-000156-c;1
UA-2016-04-07-000158-c;1
UA-2016-04-07-000162-c;1
UA-2016-04-07-000163-c;1
UA-2016-04-07-000168-c;1
UA-2016-04-07-000173-c;1
UA-2016-04-07-000208-c;1
UA-2016-04-07-000214-c;1
UA-2016-04-07-000222-c;1
UA-2016-04-07-000227-c;1
UA-2016-04-07-000237-c;1
UA-2016-04-07-000254-c;1
UA-2016-04-07-000285-c;1
UA-2016-04-07-000292-c;1
UA-2016-04-07-000321-c;1
UA-2016-04-08-000005-a;1
UA-2016-04-08-000007-a;1
UA-2016-04-08-000008-b;1
UA-2016-04-08-000021-a;1
UA-2016-04-08-000036-a;1
UA-2016-04-08-000056-b;1
UA-2016-04-08-000063-a;1
UA-2016-04-08-000065-c;1
UA-2016-04-08-000087-b;1
UA-2016-04-08-000098-a;1
UA-2016-04-08-000101-a;1
UA-2016-04-08-000273-c;1
UA-2016-04-08-000298-c;1
UA-2016-04-08-000357-c;1
UA-2016-04-08-000360-c;1
UA-2016-04-08-000361-c;1
UA-2016-04-09-000004-a;1
UA-2016-04-11-000068-b;1
UA-2016-04-11-000103-a;1
UA-2016-04-11-000156-a;1
UA-2016-04-11-000328-c;1
UA-2016-04-11-000593-c;1
UA-2016-04-11-000594-c;1
UA-2016-04-11-000596-c;1
UA-2016-04-11-000597-c;1
UA-2016-04-12-000007-a;1
UA-2016-04-12-000087-c;1
UA-2016-04-12-000113-c;3
UA-2016-04-12-000114-c;1
UA-2016-04-12-000130-a;1
UA-2016-04-12-000133-a;1
UA-2016-04-12-000291-b;1
UA-2016-04-12-000294-a;2
UA-2016-04-12-000304-b;1
UA-2016-04-12-000305-a;1
UA-2016-04-12-000357-a;4
UA-2016-04-12-000414-b;1
UA-2016-04-13-000033-a;3
UA-2016-04-13-000038-c;1
UA-2016-04-13-000050-a;1
UA-2016-04-13-000058-a;1
UA-2016-04-13-000067-a;1
UA-2016-04-13-000081-a;1
UA-2016-04-13-000090-a;4
UA-2016-04-13-000099-a;1
UA-2016-04-13-000179-c;1
UA-2016-04-13-000218-b;1
UA-2016-04-13-000256-c;1
UA-2016-04-13-000257-b;1
UA-2016-04-13-000317-b;1
UA-2016-04-13-000323-b;1
UA-2016-04-13-000330-b;1
UA-2016-04-13-000334-b;1
UA-2016-04-13-000363-c;1
UA-2016-04-13-000364-c;1
UA-2016-04-13-000414-c;1
UA-2016-04-13-000416-c;4
UA-2016-04-14-000008-a;1
UA-2016-04-14-000019-a;1
UA-2016-04-14-000021-b;1
UA-2016-04-14-000022-c;1
UA-2016-04-14-000023-a;1
UA-2016-04-14-000047-b;1
UA-2016-04-14-000055-b;1
UA-2016-04-14-000064-b;2
UA-2016-04-14-000069-b;2
UA-2016-04-14-000070-a;1
UA-2016-04-14-000071-a;1
UA-2016-04-14-000075-b;1
UA-2016-04-14-000077-a;1
UA-2016-04-14-000078-b;1
UA-2016-04-14-000080-b;1
UA-2016-04-14-000084-b;1
UA-2016-04-14-000086-a;1
UA-2016-04-14-000091-a;1
UA-2016-04-14-000104-b;1
