"";"name";"variant_1";"variant_2";"variant_3";"variant_4";"variant_5";"variant_6";"variant_7";"variant_8";"variant_9";"variant_10"
"1";"profit_perc_ev";0,01;0,02;0,03;0,04;0,05;0,06;0,07;0,08;0,09;0,1
"2";"multiplier_condition";0,000233644859813084;0,000467289719626168;0,000700934579439252;0,000934579439252337;0,00116822429906542;0,00140186915887851;0,00163551401869159;0,00186915887850467;0,00210280373831776;0,00233644859813084
"3";"multiplier_decision";0,00144702842377261;0,00289405684754522;0,00434108527131783;0,00578811369509044;0,00723514211886305;0,00868217054263566;0,0101291989664083;0,0115762273901809;0,0130232558139535;0,0144702842377261
"4";"threshold_condition_goods";21400000;10700000;7133333,33333333;5350000;4280000;3566666,66666667;3057142,85714286;2675000;2377777,77777778;2140000
"5";"threshold_condition_works";64200000;32100000;21400000;16050000;12840000;10700000;9171428,57142857;8025000;7133333,33333333;6420000
"6";"threshold_decision_goods";3455357,14285714;1727678,57142857;1151785,71428571;863839,285714286;691071,428571429;575892,857142857;493622,448979592;431919,642857143;383928,571428572;345535,714285714
"7";"threshold_decision_works";10366071,4285714;5183035,71428572;3455357,14285714;2591517,85714286;2073214,28571429;1727678,57142857;1480867,34693878;1295758,92857143;1151785,71428571;1036607,14285714
"8";"complaints";684;1055;1294;1415;1515;1625;1751;1805;1845;1884
"9";"complaints_condition_goods";108;153;182;196;214;277;342;373;385;402
"10";"complaints_condition_works";14;22;25;26;28;30;31;32;32;32
"11";"complaints_decision_goods";465;761;942;1044;1121;1164;1223;1245;1272;1289
"12";"complaints_decision_works";97;119;145;149;152;154;155;155;156;161
"13";"tenders";551;877;1095;1206;1298;1402;1502;1548;1583;1618
"14";"tenders_condition_goods";88;129;157;171;187;249;304;333;345;360
"15";"tenders_condition_works";12;20;23;24;26;28;29;30;30;30
"16";"tenders_decision_goods";384;650;815;909;982;1023;1078;1099;1124;1140
"17";"tenders_decision_works";87;109;132;136;139;141;142;142;143;148
"18";"total_condition_goods";839;1617;2375;3106;3750;5959;8083;9568;10874;11862
"19";"total_condition_works";371;841;1205;1542;1869;2174;2468;2731;2957;3209
"20";"total_decision_goods";6635;14135;19188;23205;26816;29876;32867;35269;37717;39782
"21";"total_decision_works";2236;3727;4776;5578;6281;6783;7097;7172;7225;7294
"22";"problem_condition_goods";0,104886769964243;0,0797773654916512;0,0661052631578947;0,0550547327752737;0,0498666666666667;0,041785534485652;0,0376097983421997;0,0348035117056856;0,0317270553614125;0,0303490136570561
"23";"problem_condition_works";0,032345013477089;0,0237812128418549;0,0190871369294606;0,0155642023346304;0,0139111824505083;0,0128794848206072;0,0117504051863857;0,0109849871841816;0,0101454176530267;0,00934870676223122
"24";"problem_decision_goods";0,0578749058025622;0,0459851432614079;0,0424744632061705;0,0391725921137686;0,0366199284009547;0,0342415316642121;0,0327988559953753;0,031160509229068;0,0298008855423284;0,0286561761600724
"25";"problem_decision_works";0,0389087656529517;0,0292460423933459;0,0276381909547739;0,0243814987450699;0,0221302340391657;0,0207872622733304;0,0200084542764548;0,0197992191857223;0,0197923875432526;0,0202906498491911
